Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"10,751.00",3.8,"18,729.36",455.3,15.82,"6,908.00","26,216.60",46.45,"18,841.90",1157,51413698
"10,772.00",3.84,"19,187.59",484.11,16.83,"6,872.40","26,372.10",20,"19,596.28",1188,51852451
,3.89,,,,"6,790.00","26,423.30",,,1231,52280807
"12,431.00",1.94,"9,167.25","1,586.32",10.31,"7,096.00","13,744.00",,"7,566.24",194,37963278
"13,150.00",1.83,"8,279.47","2,108.00",12.16,"6,780.00","12,413.00",,"7,663.14",209,39058603
"13,900.00",1.92,"9,937.63",846.33,10.79,"7,743.00","14,899.00",,"8,064.94",270,40159582
"14,624.00",1.83,"8,928.46","1,044.34",13.76,"7,333.00","13,386.00",,"8,059.89",332,41252324
"14,900.00",1.83,"10,205.10",948.83,12.09,"8,357.00","15,300.00",,"8,416.24",352,42326312
"15,164.00",1.84,"10,050.36","1,959.78",15.64,"8,167.00","15,068.00",,"8,243.75",392,43377271
"15,773.00",1.59,"9,285.31","2,927.30",17.25,"8,750.00","13,921.00",,"8,113.52",445,44405904
"16,108.00",1.96,"11,652.49","1,604.57",17.87,"8,935.00","17,470.00",,"9,182.79",529,45413080
"16,315.00",1.82,"10,510.59","2,791.71",17.74,"8,654.00","15,758.00",,"8,455.53",590,46401754
"16,515.00",1.89,"11,584.52","2,794.07",16.66,"9,200.08","17,368.10",,"8,418.58",719,47374472
"16,855.00",1.95,"11,855.47","3,025.74",18.58,"9,105.03","17,774.32",,"8,446.12",752,48326274
"17,199.00",1.89,"11,257.97","3,779.46",18.7,"8,940.02","16,878.51",,"7,990.47",774,49255900
"17,293.00",2.04,"13,039.14","3,471.31",27.8,"9,606.01","19,548.94",,"8,773.60",835,50173924
"17,401.00",2.07,"13,276.52","4,596.79",25.61,"9,629.71","19,904.82",,"8,482.35",854,51094868
"17,693.00",2.06,"13,516.00","4,045.45",25.35,"9,833.07","20,263.87",,"8,152.95",776,52026901
"17,810.00",2.05,"12,585.06","4,511.96",31.56,"9,194.02","18,868.16",,"8,373.99",840,52980094
"17,930.00",2.01,"12,291.66","4,437.88",35.13,"9,147.08","18,428.27",,"8,346.94",969,53945881
"17,728.00",2.15,"14,182.35","5,258.93",43.47,"9,905.93","21,262.90",,"8,385.28",1159,54891520
"17,581.00",2.09,"13,740.87","6,308.27",46.57,"9,879.04","20,601.01",,"7,989.71",1350,55772169
"17,494.00",1.96,"11,467.88","4,009.87",59.67,"8,791.88","17,193.22",,"8,039.53",1571,56558186
"17,510.00",2.25,"13,606.80","4,324.59",54.95,"9,052.96","20,400.00",0.01,"8,528.50",1777,57232465
"17,238.00",2.17,"13,284.64","5,144.36",64.85,"9,159.68","19,917.00",,"8,267.85",2026,57811021
"17,085.00",2.17,"13,026.51","4,980.28",85.16,"9,000.00","19,530.00",,"8,079.62",2234,58337773
"16,860.00",2.35,"14,081.04","4,846.31",80.66,"8,975.23","21,111.00",,"8,560.83",2515,58875269
"16,839.00",2.42,"14,684.34","6,188.52",89.49,"9,112.95","22,015.50",0.07,"8,549.36",2872,59467274
"16,563.00",2.41,"14,895.18","5,442.26",91.76,"9,267.20","22,331.60",0.19,"9,304.78",3071,60130186
"16,242.00",2.38,"15,727.86","5,552.66",91.18,"9,912.79","23,580.00",0.32,"9,428.97",2493,60846582
"15,932.00",2.47,"15,641.15","6,524.36",102.75,"9,511.52","23,450.00",0.84,"9,581.91",1867,61585103
